post,year,annual_peak_cm,annual_peak_date,spring_peak_cm,spring_peak_date,spring_min_cm,spring_amplitude_cm,max_rise_7d_cm_day,max_fall_7d_cm_day,rise_start_date,days_from_rise_to_peak,days_above_p90,days_above_p95,p90_level_cm,p95_level_cm,annual_peak_cm_z,spring_peak_cm_z,spring_amplitude_cm_z,max_rise_7d_cm_day_z,days_above_p90_z,days_above_p95_z
Сангар,2008,1191.0,2008-05-25,1191.0,2008-05-25,107.0,1084.0,110.0,-71.0,2008-05-18,7,26,13,645.0,733.5500000000002,1.2288931383062125,1.2288931383062125,1.1203194909124192,0.060861905962216294,-0.5517580167744218,-0.3910846688568737
Сангар,2009,1040.0,2009-05-19,1040.0,2009-05-19,147.0,893.0,86.28571428571429,-44.285714285714285,2009-05-13,6,43,30,645.0,733.5500000000002,0.03315982290234242,0.03315982290234242,-0.5233177458750763,-1.2750820794563542,0.8775579885840804,1.6947002317131195
Сангар,2010,1006.0,2010-05-22,1006.0,2010-05-22,91.0,915.0,108.28571428571429,-32.42857142857143,2010-05-19,3,18,13,645.0,733.5500000000002,-0.23607814215548262,-0.23607814215548262,-0.3339982735749459,-0.03571235804394512,-1.224377313413717,-0.3910846688568737
Сангар,2011,918.0,2011-05-17,918.0,2011-05-17,64.0,854.0,99.71428571428571,-51.142857142857146,2011-05-13,4,11,6,645.0,733.5500000000002,-0.9329293458345591,-0.9329293458345591,-0.8589295376798528,-0.5185836780747546,-1.8129191979731003,-1.2499372749739297
Сангар,2012,1075.0,2012-05-16,1075.0,2012-05-16,86.0,989.0,127.71428571428571,-28.857142857142858,2012-05-13,3,43,17,645.0,733.5500000000002,0.31031655163833877,0.31031655163833877,0.30280358779821986,1.0587959673592207,0.8775579885840804,0.09968824892430114
Сангар,2013,914.0,2013-05-15,914.0,2013-05-15,75.0,839.0,109.0,-25.142857142857142,2013-05-13,2,56,28,645.0,733.5500000000002,-0.9646044005472444,-0.9646044005472444,-0.9880109960663054,0.0045269186252886034,1.9705643456229351,1.449313772822532
Сангар,2014,1015.0,2014-05-16,1015.0,2014-05-16,75.0,940.0,84.42857142857143,-49.42857142857143,2014-05-07,9,15,9,645.0,733.5500000000002,-0.16480926905194068,-0.16480926905194068,-0.11886250959752503,-1.3797041987963632,-1.4766095496534526,-0.8818575866380486
Сангар,2015,1021.0,2015-05-18,1021.0,2015-05-18,75.0,946.0,120.28571428571429,-47.0,2015-05-14,4,40,14,645.0,733.5500000000002,-0.11729668698291275,-0.11729668698291275,-0.06722992624294402,0.6403074899991872,0.6253257523443447,-0.26839143941158
Сангар,2016,764.0,2016-05-17,764.0,2016-05-17,49.0,715.0,83.14285714285714,-19.285714285714285,2016-05-15,2,39,14,645.0,733.5500000000002,-2.152418952272943,-2.152418952272943,-2.055084385394313,-1.4521348968009848,0.5412483402644328,-0.26839143941158
Сангар,2017,980.0,2017-05-22,980.0,2017-05-22,54.0,926.0,97.42857142857143,-44.142857142857146,2017-05-17,5,28,14,645.0,733.5500000000002,-0.44196599778793705,-0.44196599778793705,-0.2393385374248807,-0.6473493634163031,-0.383603192614598,-0.26839143941158
